rank,smiles,score,pharma_score,qed,sa_score,mw,logp,psa,hbd,hba,rot_bonds,lip_violations
1,O=C(O)c1cc(Br)ccc1Cc1ccccc1,0.911,1.0,0.935,1.66,291.14,3.74,37.3,1,1,3,0
2,O=C(O)c1cc(Br)ccc1-c1ccccc1,0.906,1.0,0.906,1.53,277.12,3.81,37.3,1,1,2,0
3,O=C(O)c1cc(Br)ccc1C(=O)c1ccccc1,0.894,1.0,0.884,1.64,305.13,3.38,54.4,1,2,3,0
4,O=C(O)c1cc(Br)ccc1CBr,0.864,1.0,0.851,2.09,293.94,3.04,37.3,1,1,2,0
5,Cc1ccc(Br)cc1C(=O)O,0.86,1.0,0.781,1.59,215.05,2.46,37.3,1,1,1,0
6,O=C(O)c1cc(Br)ccc1CC=C1C=CC=CC1,0.847,1.0,0.911,3.04,305.17,4.13,37.3,1,1,3,0
7,C=CC=CC=CCc1ccc(Br)cc1C(=O)O,0.83,1.0,0.833,2.8,293.16,3.99,37.3,1,1,5,0
8,O=C(O)c1cc(Br)ccc1C1C=CCC=C1,0.827,1.0,0.837,2.89,279.13,3.75,37.3,1,1,2,0
9,O=C(O)c1cc(Br)ccc1CC=CC=C1C=C1Cc1ccccc1,0.797,1.0,0.732,2.74,381.27,5.36,37.3,1,1,6,1
10,O=C(O)c1cc(Br)ccc1CC=C1C=C[C+]C=C1,0.796,1.0,0.862,3.89,303.16,3.82,37.3,1,1,3,0
11,O=C(O)c1c2ccc(Br)c1C2c1ccccc1,0.79,1.0,0.782,3.35,289.13,3.64,37.3,1,1,2,0
12,O=C(O)c1cc(Br)ccc1C1C=C=CC=C1,0.784,1.0,0.84,3.99,277.12,3.51,37.3,1,1,2,0
13,O=C(O)C(=O)c1ccccc1,0.766,1.0,0.504,1.52,150.13,0.95,54.4,1,2,2,0
14,O=S(O)c1cc(Br)ccc1CBr,0.752,1.0,0.673,3.33,314.0,2.92,37.3,1,1,2,0
15,O=C(O)c1cc(Br)ccc1CC1=CC=[SH]C=C1,0.734,1.0,0.663,3.7,311.2,3.41,37.3,2,1,3,0
16,O=C(O)c1cc(Br)ccc1C=[S-]1=CC=CC=C1,0.728,1.0,0.674,3.95,310.19,2.8,37.3,1,2,2,0
17,C=CC=CP=C=CCc1ccc(Br)cc1C(=O)O,0.724,1.0,0.648,3.83,323.13,4.29,37.3,1,1,5,0
18,O=C(O)C=CC(Br)=CC#CCc1ccccc1,0.717,1.0,0.527,2.93,291.14,3.15,37.3,1,1,3,0
19,O=C(O)c1cc(Br)ccc1CC(Br)=CC=CCBr,0.707,1.0,0.523,3.16,438.94,4.92,37.3,1,1,5,0
20,O=C(O)CCC(=O)NC=CC[O-],0.705,1.0,0.547,3.42,172.16,-1.16,89.5,2,3,5,0
21,O=CC=C(Br)C=CC(=O)O,0.662,1.0,0.426,3.42,205.01,1.1,54.4,1,2,3,0
22,O=C(O)C=CC[O-],0.659,1.0,0.453,3.73,101.08,-1.01,60.4,1,2,2,0
23,O=C(O)C=CC(Br)=C=CC(Br)=CC=CCc1ccccc1,0.651,1.0,0.401,3.48,410.11,5.14,37.3,1,1,6,1
24,O=C(O)c1cc(Br)ccc1C=[P-]C#CCOCCBr,0.622,1.0,0.352,3.78,406.01,3.62,46.5,1,2,5,0
25,O=C(O)C=CC(Br)=C=CC[O-],0.619,1.0,0.424,4.48,218.03,0.42,60.4,1,2,3,0
26,O=C1CC(Br)=CC=C1Cc1ccccc1,0.595,0.5,0.799,2.75,263.13,3.41,17.1,0,1,2,0
27,O=C1CC(Br)=CC=C(Cc2ccccc2)O1,0.578,0.5,0.776,2.96,279.13,3.34,26.3,0,2,2,0
28,CC(=O)C(Br)=CC=CCc1ccccc1,0.526,0.5,0.6,2.73,265.15,3.65,17.1,0,1,4,0
29,C=CC(C)=O,0.467,0.5,0.416,2.6,70.09,0.76,17.1,0,1,1,0
30,C=CC=CC=CCC12C=C(Br)C=C1C(=O)O2,0.439,0.5,0.583,4.75,279.13,3.19,26.3,0,2,4,0
31,[B+]c1ccccc1C=O,0.425,0.5,0.38,3.32,115.93,0.29,17.1,0,1,1,0
