rank,smiles,score,pharma_score,qed,sa_score,mw,logp,psa,hbd,hba,rot_bonds,lip_violations
1,O=C(O)c1cc(Br)ccc1Br,0.878,1.0,0.858,1.8,279.91,2.91,37.3,1,1,1,0
2,O=C(O)c1cc(Br)ccc1C(=O)N1C=CCC=C1,0.854,1.0,0.913,2.9,308.13,3.02,57.6,1,2,2,0
3,CC=CC=CNC(=O)c1ccc(Br)cc1C(=O)O,0.836,1.0,0.84,2.7,310.15,2.97,66.4,2,2,4,0
4,O=CCC=CNC(=O)c1ccc(Br)cc1C(=O)O,0.824,1.0,0.814,2.78,312.12,1.98,83.5,2,3,5,0
5,O=C(O)c1cc(Br)c2cc1C(=O)C=C2Br,0.814,1.0,0.86,3.42,331.95,3.08,54.4,1,2,1,0
6,O=C(O)c1cc(Br)ccc1C(=O)NC[PH]1=CC=CC=C1,0.775,1.0,0.818,4.03,354.14,2.93,66.4,2,2,4,0
7,CCC=CC(=O)O,0.739,1.0,0.526,2.39,100.12,1.04,37.3,1,1,2,0
8,O=C(O)C=CC(Br)=C1C=C(Br)CC=C1Br,0.734,1.0,0.706,4.08,398.88,4.24,37.3,1,1,2,0
9,O=C(O)c1cc(Br)ccc1C(=O)NC=C1[C-]=C=CC=C1,0.726,1.0,0.661,3.89,331.15,2.85,66.4,2,2,3,0
10,O=C(O)C=CC(Br)=CC=CBr,0.721,1.0,0.638,3.81,281.93,2.81,37.3,1,1,3,0
11,O=C(O)c1cc(Br)ccc1C(Br)C#CBr,0.72,1.0,0.607,3.57,396.86,3.94,37.3,1,1,2,0
12,O=C(Nc1ccccc1)C(=O)c1cccc(Br)c1,0.715,0.75,0.699,1.67,304.14,3.27,46.2,1,2,3,0
13,CC1C=CC(=O)OC(C(=O)Nc2ccccc2)=C1,0.699,0.75,0.81,3.05,243.26,2.26,55.4,1,3,2,0
14,O=C(O)C=CC(Br)=CC[O-],0.678,1.0,0.532,3.96,206.01,0.27,60.4,1,2,3,0
15,O=C(O)C=CC(Br)=CI,0.673,1.0,0.483,3.65,302.89,2.3,37.3,1,1,2,0
16,O=CC=CC=C(Br)C=CC(=O)O,0.668,1.0,0.454,3.52,231.05,1.66,54.4,1,2,4,0
17,O[P-](O)c1cc(Br)ccc1Br,0.651,0.75,0.78,4.0,299.89,2.13,40.5,2,2,1,0
18,O=C(O)C#[S+]=CC(Br)=CC=CC(=O)Nc1ccccc1,0.644,1.0,0.378,3.45,353.22,2.39,66.4,2,2,4,0
19,O=C(O)C=C=CBr,0.641,1.0,0.464,4.29,162.97,1.13,37.3,1,1,1,0
20,O=C(O)C=CC(Br)=CC=C[O-],0.636,1.0,0.432,4.14,218.03,0.78,60.4,1,2,3,0
21,C=COCC(=O)C(Br)=C=CC(=O)Nc1ccccc1,0.585,0.75,0.498,3.18,322.16,2.79,55.4,1,3,6,0
22,O=C1CC(Br)=CC=C(Br)O1,0.481,0.5,0.631,4.11,267.9,2.45,26.3,0,2,0,0
23,CC1C=CC(=O)OC(Br)=C1,0.453,0.5,0.562,4.22,203.03,1.97,26.3,0,2,0,0
24,CC=O,0.315,0.25,0.355,3.04,44.05,0.21,17.1,0,1,0,0
