rank,smiles,score,pharma_score,qed,sa_score,mw,logp,psa,hbd,hba,rot_bonds,lip_violations
1,O=C(O)c1cc(Br)ccc1Cc1ccccc1,0.911,1.0,0.935,1.66,291.14,3.74,37.3,1,1,3,0
2,O=C(O)c1cc(Br)ccc1CC=Cc1ccccc1,0.886,1.0,0.907,2.04,317.18,4.4,37.3,1,1,4,0
3,Cc1ccc(Br)cc1C(=O)O,0.86,1.0,0.781,1.59,215.05,2.46,37.3,1,1,1,0
4,O=Cc1ccc(Br)cc1C(=O)O,0.843,1.0,0.788,2.08,229.03,1.96,54.4,1,2,2,0
5,O=C(O)c1cc([P-])ccc1Cc1ccccc1,0.842,1.0,0.84,2.55,242.21,3.01,37.3,1,1,3,0
6,O=C(O)c1cc(Br)ccc1C1C=CC=CC1,0.84,1.0,0.895,3.08,279.13,3.75,37.3,1,1,2,0
7,O=C=CNC(=O)c1ccc(Br)cc1C(=O)O,0.824,1.0,0.817,2.79,284.06,1.22,83.5,2,3,3,0
8,O=C(O)c1c2ccc(Br)c1-2,0.819,1.0,0.763,2.44,199.0,2.13,37.3,1,1,1,0
9,O=C(O)CC=CCc1ccccc1,0.817,1.0,0.714,2.08,176.22,2.26,37.3,1,1,4,0
10,CC=CC(N)c1ccc(Br)cc1C(=O)O,0.813,1.0,0.83,3.19,270.13,2.72,63.3,2,2,3,0
11,O=C1c2ccc(Br)c1c2C(=O)O,0.807,1.0,0.806,3.12,227.01,1.69,54.4,1,2,1,0
12,O=C(O)c1cc(Br)ccc1C1=[C+]O1,0.802,1.0,0.806,3.24,240.03,2.28,49.8,1,2,2,0
13,O=C(O)c1cc(Br)ccc1C(=O)NC=CC=CC=CBr,0.785,1.0,0.737,3.07,401.05,3.86,66.4,2,2,5,0
14,O=C(O)c1cc([P-])ccc1C(=O)NC=C1C=CCN=C1,0.782,1.0,0.83,3.96,286.23,1.67,78.8,2,3,3,0
15,O=C(O)C=CC(Br)=CC=CCc1ccccc1,0.772,1.0,0.664,2.75,293.16,3.7,37.3,1,1,5,0
16,O=C(O)c1cc(Br)cc2c1C[P+]C=C2,0.771,1.0,0.792,3.91,270.04,3.58,37.3,1,1,1,0
17,O=C(O)C=C1C(Br)=CCP=C1Cc1ccccc1,0.75,1.0,0.681,3.46,323.13,3.65,37.3,1,1,3,0
18,C=CCN=CC=CNC(=O)c1ccc(Br)cc1C(=O)O,0.741,1.0,0.619,3.14,337.17,2.65,78.8,2,3,6,0
19,O=C(O)CBr,0.741,1.0,0.536,2.42,138.95,0.47,37.3,1,1,1,0
20,O=C1CC(Br)=CC=C(C(=O)Nc2ccccc2)O1,0.725,0.75,0.855,2.79,308.13,2.73,55.4,1,3,2,0
21,O=[C+]c1ccccc1NC(=O)c1ccc(Br)cc1CO,0.717,0.75,0.846,2.91,333.16,2.65,66.4,2,3,4,0
22,O=C(O)C=CC(Br)=CC#CCc1ccccc1,0.717,1.0,0.527,2.93,291.14,3.15,37.3,1,1,3,0
23,O=C(O)C=CCBr,0.704,1.0,0.489,2.93,164.99,1.02,37.3,1,1,2,0
24,CC1C=CC(=O)OC(C(=O)Nc2ccccc2)=C1,0.699,0.75,0.81,3.05,243.26,2.26,55.4,1,3,2,0
25,O=CCNc1ccccc1,0.684,0.75,0.633,1.88,135.17,1.3,29.1,1,2,3,0
26,O=C(O)C=CC(Br)=C(O)c1cc(Br)ccc1C(=O)N1C=CCC=C1,0.648,1.0,0.396,3.52,455.1,4.58,77.8,2,3,4,0
27,O=C(O)C=C=[S-]C(Br)=CC=CC(=O)Nc1ccccc1,0.64,1.0,0.37,3.48,353.22,2.54,66.4,2,3,5,0
28,O=C1C=C=CCC=C(C(=O)Nc2ccccc2)O1,0.63,0.75,0.637,3.27,241.25,2.17,55.4,1,3,2,0
29,C=CC=CC=NC(=O)C(=O)O,0.62,1.0,0.355,3.85,153.14,0.41,66.7,1,2,2,0
30,O=CC=CC=C=CC=C(Br)C=CC(=O)O,0.608,1.0,0.361,4.22,269.09,2.37,54.4,1,2,5,0
31,O=C1CC(Br)=CC=C(Cc2ccccc2)C1,0.593,0.5,0.803,2.83,277.16,3.8,17.1,0,1,2,0
32,O=C[SH](O)c1cc(Br)cc2c1C(=O)C=C2,0.588,0.75,0.649,4.42,287.13,2.68,54.4,2,3,2,0
33,O=C[B-]=C=CC=C(Br)C=CC(=O)O,0.58,1.0,0.342,4.75,240.85,0.76,54.4,1,2,4,0
34,[C+]#CC(=O)O,0.576,1.0,0.312,4.59,69.04,-0.34,37.3,1,1,0,0
35,O=C1CC(Br)=Cc2ccccc2O1,0.495,0.5,0.514,2.74,239.07,2.73,26.3,0,2,0,0
36,CCC=COO,0.495,0.75,0.314,3.8,88.11,1.4,29.5,1,2,2,0
37,O=CCBr,0.417,0.5,0.368,3.43,122.95,0.58,17.1,0,1,1,0
38,C1=CNOC=C1,0.412,0.5,0.461,4.35,83.09,0.55,21.3,1,2,0,0
39,CC=O,0.315,0.25,0.355,3.04,44.05,0.21,17.1,0,1,0,0
