rank,smiles,score,pharma_score,qed,sa_score,mw,logp,psa,hbd,hba,rot_bonds,lip_violations
1,O=C(O)c1cc(Br)ccc1Cc1ccccc1,0.911,1.0,0.935,1.66,291.14,3.74,37.3,1,1,3,0
2,NC(c1ccccc1)c1ccc(Br)cc1C(=O)O,0.875,1.0,0.915,2.39,306.16,3.2,63.3,2,2,3,0
3,O=C(O)c1cc(Br)ccc1CBr,0.864,1.0,0.851,2.09,293.94,3.04,37.3,1,1,2,0
4,O=C(NCc1ccccc1)c1ccc(Br)cc1C(O)=S,0.861,1.0,0.829,1.99,350.24,3.61,49.3,2,2,4,0
5,O=C(O)c1cc(Br)cc2c1C(=O)C=C2,0.841,1.0,0.835,2.54,253.05,2.36,54.4,1,2,1,0
6,O=C(O)c1cc(Br)ccc1C(=O)N1C=C=CC=C1,0.811,1.0,0.855,3.45,306.12,2.79,57.6,1,2,2,0
7,C#CC=CC=CNC(=O)c1ccc(Br)cc1C(=O)O,0.76,1.0,0.662,3.03,320.14,2.58,66.4,2,2,4,0
8,O=C(O)C=C(Br)CCOc1cc(Br)ccc1C(=O)Nc1ccccc1,0.755,1.0,0.57,2.36,469.13,4.83,75.6,2,3,7,0
9,O=C(O)C=C1[B+]C(Br)=CC=C1Cc1ccccc1,0.75,1.0,0.688,3.52,301.96,3.08,37.3,1,1,3,0
10,CCC=CC(=O)O,0.739,1.0,0.526,2.39,100.12,1.04,37.3,1,1,2,0
11,OCc1cc(Br)ccc1CBr,0.736,0.75,0.826,2.27,279.96,2.84,20.2,1,1,2,0
12,O=C(O)c1cc(Br)ccc1C(=O)NCI,0.725,1.0,0.478,2.31,383.97,2.27,66.4,2,2,3,0
13,O=C(O)C=C1C#P(Br)CC=C1Cc1ccccc1,0.719,1.0,0.676,4.2,323.13,3.93,37.3,1,1,3,0
14,O=C(O)C=CC1C=CC=CC1=O,0.713,1.0,0.618,3.83,164.16,0.94,54.4,1,2,2,0
15,O=C=[B-](O)c1cc(Br)ccc1C(=O)Nc1ccccc1,0.713,0.75,0.839,2.96,330.95,1.54,66.4,2,3,3,0
16,CC=C(Br)C=CC(=O)O,0.707,1.0,0.534,3.24,191.02,1.93,37.3,1,1,2,0
17,O=C(O)C=CCBr,0.704,1.0,0.489,2.93,164.99,1.02,37.3,1,1,2,0
18,O=C(O)C=C=CC(Br)=CC=CC(=O)Nc1ccccc1,0.698,1.0,0.493,3.12,334.17,3.26,66.4,2,2,5,0
19,O=C(Nc1ccccc1)c1ccc(Br)cc1OO,0.697,0.75,0.673,1.89,308.13,3.55,58.6,2,3,3,0
20,CC(CC(Br)=CC(=O)O)OCCCBr,0.655,1.0,0.444,3.76,330.02,2.93,46.5,1,2,7,0
21,O=C(O)C=CC(Br)=CC=CC#CCC(Br)=CCC(=O)Nc1ccccc1,0.623,1.0,0.323,3.51,479.17,5.16,66.4,2,2,7,1
22,O=C(O)C=CC(Br)=CC#CCBr,0.62,1.0,0.367,3.95,293.94,2.3,37.3,1,1,2,0
23,O=CC#CC=C(Br)C=CC(=O)O,0.608,1.0,0.334,3.96,229.03,1.11,54.4,1,2,2,0
24,O=C=NCOc1cc(Br)ccc1Cc1ccccc1,0.545,0.5,0.623,2.46,318.17,3.71,38.7,0,3,5,0
25,O=C1CC(Br)=CC=C(CBr)O1,0.452,0.5,0.545,4.09,281.93,2.49,26.3,0,2,1,0
26,CC(=O)Br,0.374,0.25,0.438,2.3,122.95,0.93,17.1,0,1,0,0
27,O=C=O,0.303,0.25,0.364,3.41,44.01,-0.58,34.1,0,2,0,0
