rank,smiles,score,pharma_score,qed,sa_score,mw,logp,psa,hbd,hba,rot_bonds,lip_violations
1,O=C(O)c1cc(Br)ccc1Cc1ccccc1,0.911,1.0,0.935,1.66,291.14,3.74,37.3,1,1,3,0
2,NC(c1ccccc1)c1ccc(Br)cc1C(=O)O,0.875,1.0,0.915,2.39,306.16,3.2,63.3,2,2,3,0
3,O=C(O)c1cc(Br)ccc1CBr,0.864,1.0,0.851,2.09,293.94,3.04,37.3,1,1,2,0
4,C=CC=CCc1ccc(Br)cc1C(=O)O,0.843,1.0,0.848,2.6,267.12,3.43,37.3,1,1,4,0
5,O=C(O)C=C1OC(Br)=CC=C1Cc1ccccc1,0.831,1.0,0.871,3.1,307.14,3.39,46.5,1,2,3,0
6,[C+]c1ccccc1C(N)c1ccc(Br)cc1C(=O)O,0.816,1.0,0.855,3.32,317.16,3.13,63.3,2,2,3,0
7,O=C(O)c1cc(Br)ccc1C[O+],0.814,1.0,0.79,2.81,230.04,2.08,57.2,1,1,2,0
8,O=C(O)c1cc(Br)ccc1CC1=C=[N+]=CC=C1,0.796,1.0,0.866,3.93,291.12,1.99,51.4,1,1,3,0
9,NC(C[p+]1ccccc1)c1ccc(Br)cc1C(=O)O,0.795,1.0,0.881,4.08,339.15,4.12,63.3,2,2,4,0
10,CC1=CC=C[P+]1=C=Cc1ccc(Br)cc1C(=O)O,0.76,1.0,0.816,4.4,322.12,4.47,37.3,1,1,2,0
11,O=C(O)C=C1C(Cc2ccccc2)=CCC1(Br)Br,0.753,1.0,0.642,3.05,372.06,4.06,37.3,1,1,3,0
12,OC1=C(c2ccccc2)c2ccc(Br)cc21,0.744,0.75,0.824,2.04,273.13,4.24,20.2,1,1,1,0
13,O=CC(O)c1cc(Br)ccc1Cc1ccccc1,0.738,0.75,0.88,2.68,305.17,3.27,37.3,1,2,4,0
14,[C+]c1ccc(CBr)c(C(=O)O)c1,0.73,1.0,0.62,3.43,226.05,2.22,37.3,1,1,2,0
15,O=C(O)C1=CC(Br)=C=[C+]C1Cc1ccccc1,0.726,1.0,0.686,4.1,290.14,3.11,37.3,1,1,3,0
16,CC(Br)C=CC(=O)O,0.682,1.0,0.513,3.69,179.01,1.41,37.3,1,1,2,0
17,NC(C=C1[C+]=C=CC=C1)C1=CC=CCc2c(C(=O)O)cc(Br)cc21,0.67,1.0,0.615,4.89,381.25,3.98,63.3,2,2,3,0
18,OC1=[N+]OC(C2=CC=CCC2)c2ccc(Br)cc21,0.667,0.75,0.864,4.33,306.16,3.35,43.6,1,2,1,0
19,[O-]C(O)c1ccccc1,0.614,0.75,0.536,2.79,123.13,0.04,43.3,1,2,1,0
20,O=C(O)C=CC(Br)=C=CC(Br)=CC=CCBr,0.587,1.0,0.316,4.34,412.9,4.29,37.3,1,1,5,0
21,CC(=O)C(Br)=CC=CCc1ccccc1,0.526,0.5,0.6,2.73,265.15,3.65,17.1,0,1,4,0
22,O=BCOc1cc(Br)ccc1CBr,0.516,0.5,0.631,3.25,305.76,2.73,26.3,0,2,4,0
23,O=C1C=CC(Br)=C=C(Cc2ccccc2)O1,0.505,0.5,0.613,3.37,277.12,3.1,26.3,0,2,2,0
24,O=C([O+])Oc1cc(Br)ccc1Cc1ccccc1,0.5,0.5,0.489,2.41,306.13,3.97,46.2,0,2,3,0
25,CC(=O)C(C)Br,0.491,0.5,0.517,2.87,151.0,1.36,17.1,0,1,1,0
26,O=C1OC1(Br)CC=CCc1ccccc1,0.462,0.5,0.477,3.25,267.12,2.82,29.6,0,2,4,0
27,OBr,0.437,0.5,0.46,3.72,96.91,0.29,20.2,1,1,0,0
28,C=CC=CC(C)=O,0.434,0.5,0.374,3.05,96.13,1.32,17.1,0,1,2,0
29,C=O,0.277,0.25,0.361,4.04,30.03,-0.18,17.1,0,1,0,0
